"Prototype","Screen Name","Screen File","Layer Name","Layer Text","Inspect URL"
"TAP_CartõesCrédito","Home","Home@2x.png","Flytap.com Programa","Flytap.com
Programa TAP Miles&Go","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Contactos","Contactos","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","© 2020, TAP. Todos o","© 2020, TAP. Todos os direitos reservados.","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Termos e Condições M","Termos e Condições          
Mapa do Site","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","CTA1","Todas as Perguntas Frequentes","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Não. Os Cartões de C","Não. Os Cartões de Crédito TAP servem apenas para pagamentos e levantamentos de dinheiro a crédito.","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Pagamento de bens e","Pagamento de bens e serviços em estabelecimentos comerciais aderentes à rede Visa;
Levantamento de dinheiro a crédito (cash advance) em Caixas Automáticas;
Pagamento de serviços e compras a crédito em Caixas Automáticas (ATM) da rede Multibanco em Portugal;
Consultar movimentos da sua conta-cartão;
Efetuar pagamentos de serviços.","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Estes cartões podem","Estes cartões podem ser usados como cartões multibanco?","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Onde posso usar os c","Onde posso usar os cartões TAP?","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","* Não serão atribuíd","* Não serão atribuídas milhas pelos levantamentos de dinheiro a crédito (cash advance), pagamentos de serviços / compras com entidade e referência, pagamentos ao Estado, Via Verde, portagens ou outros pagamentos de baixo valor, anuidades, taxas, comissões, juros e impostos.

** A atribuir 3 meses após a primeira compra

​*** As vantagens acima referidas não se aplicam se viajar com bilhetes tap|discount, bilhetes com descontos da indústria, tais como tarifas especiais para profissionais de companhias aéreas ou agentes de viagem, entre outros. Para consultar as condições aplicadas consulte os Termos e Condições do Programa TAP Miles&Go em https://www.flytap.com/pt-pt/miles-and-go","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
